toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmdec,st_pmdecerr1,st_pmdecerr2,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_insol,pl_eqt,st_tmag,st_tmagerr1,st_tmagerr2,st_dist,st_disterr1,st_disterr2,st_teff,st_tefferr1,st_tefferr2,st_logg,st_loggerr1,st_loggerr2,st_rad,st_raderr1,st_raderr2,toi_created,rowupdate
1048.01,384549882,FP,09h06m06.65s,136.527702,-54d54m14.12s,-54.903922,-10.863,0.096,-0.096,7.063,0.089,-0.089,2458518.376,0.00075,-0.00075,0.30412,1e-05,-1e-05,0.748,0.1,-0.1,1330.0,3.83107,-3.83107,10.417,0.668057,-0.668057,280833.0,6413.0,8.802,0.006,-0.006,440.426,9.484,-9.484,11892.0,235.8,-235.8,4.14,0.07,-0.07,2.52,0.09,-0.09,24/07/2019 18:44,29/10/2021 12:59
1049.01,16288184,KP,16h55m04.52s,253.768848,-28d42m38.1s,-28.710584,-8.568,0.1,-0.1,-5.562,0.055,-0.055,2459363.821,0.000699,-0.000699,2.1805277,2.7e-06,-2.7e-06,2.969175,0.040721,-0.040721,16340.13532,426.89557,-426.89557,16.808853,0.8821375,-0.8821375,1770.465054,1654.404068,11.0657,0.006,-0.006,314.995,7.0655,-7.0655,6599.0,200.0,-200.0,4.21017,1.96411,-1.96411,1.2714601,0.0635578,-0.0635578,15/07/2019 19:20,30/03/2022 16:02
1052.01,317060587,CP,22h30m02.47s,337.510274,-75d38m47.62s,-75.646561,-63.327,0.046,-0.046,-1.942,0.044,-0.044,2458332.941,0.002642,-0.002642,9.139804,0.0001109,-0.0001109,3.0912936,0.6627002,-0.6627002,358.4157801,33.721474,-33.721474,3.0629855,2.8175755,-2.8175755,243.011763,1006.993283,9.0197,0.006,-0.006,129.804,0.5575,-0.5575,5958.2,76.0,-76.0,4.34,0.12,-0.12,1.58,0.165123,-0.165123,16/08/2019 20:20,24/07/2023 12:03
1054.01,366989877,CP,20h08m27.4s,302.114174,-54d19m03s,-54.317501,1.594,0.054,-0.054,-15.903,0.049,-0.049,2460122.7,0.019948,-0.019948,15.5077855,0.0002372,-0.0002372,4.565,0.427,-0.427,513.0,25.4443,-25.4443,2.43432,0.142957,-0.142957,88.0718,853.0,8.4362,0.006,-0.006,88.4343,0.28175,-0.28175,6122.0,194.0,-194.0,4.30881,0.268555,-0.268555,1.17,0.05,-0.05,16/08/2019 20:20,14/09/2023 16:02
1055.01,320004517,CP,19h33m08.79s,293.286615,-54d31m57.82s,-54.532728,108.439,0.074,-0.074,-82.632,0.052,-0.052,2458661.063,0.000867,-0.000867,17.4713078,1.76e-05,-1.76e-05,4.4284819,0.0990118,-0.0990118,1199.754148,28.872627,-28.872627,3.5766828,0.2409907,-0.2409907,53.3700317,689.3568807,8.0888,0.006,-0.006,57.2651,0.18695,-0.18695,5783.54,7.82429,-7.82429,4.49925,0.019231,-0.019231,0.974669,0.0546984,-0.0546984,16/08/2019 20:20,01/10/2024 10:08
1056.01,421894914,PC,22h37m02.09s,339.258703,-76d55m03.38s,-76.917605,9.716,0.041,-0.041,-20.168,0.044,-0.044,2458326.062,0.001997,-0.001997,5.3079507,1.91e-05,-1.91e-05,3.2158594,0.2920944,-0.2920944,391.3830934,26.766296,-26.766296,3.0486928,0.3630359,-0.3630359,603.2401116,1263.986113,9.6663,0.006,-0.006,168.354,0.6765,-0.6765,6124.3,83.0,-83.0,4.38,0.16,-0.16,1.36963,0.0633668,-0.0633668,16/08/2019 20:20,14/03/2024 16:54
1057.01,323132914,PC,08h31m59.26s,127.996917,-78d24m27.23s,-78.407564,117.721,0.081,-0.081,-24.565,0.076,-0.076,2458607.351,0.00308,-0.00308,51.1701501,0.0001962,-0.0001962,6.6641048,0.2877187,-0.2877187,851.4547808,36.121876,-36.121876,2.9366826,0.26575,-0.26575,11.2148229,466.7322968,9.4091,0.006,-0.006,98.2855,0.26725,-0.26725,5599.0,187.0,-187.0,4.46138,0.26998,-0.26998,0.943356,0.0456583,-0.0456583,16/08/2019 20:20,05/12/2024 16:02
1058.01,31553893,PC,19h15m38.83s,288.911772,-31d47m26.93s,-31.790813,3.226,0.082,-0.082,-16.323,0.067,-0.067,2458663.023,0.004563,-0.004563,11.1296441,6.03e-05,-6.03e-05,7.0473822,0.3110119,-0.3110119,951.6169809,60.711002,-60.711002,12.8402271,0.8162001,-0.8162001,1255.681716,1518.237249,9.3781,0.007,-0.007,338.831,6.705,-6.705,5785.0,189.0,-189.0,4.344,2.00356,-2.00356,3.4475601,0.174417,-0.174417,16/08/2019 20:20,25/04/2024 10:08
1059.01,380783252,PC,17h58m51.48s,269.714503,-60d55m21.82s,-60.922727,4.297,0.037,-0.037,-207.409,0.034,-0.034,2460106.338,0.000382,-0.000382,9.4496506,2.8e-06,-2.8e-06,2.021,0.027,-0.027,19750.0,16.7663,-16.7663,17.0216,1.10249,-1.10249,38.5799,694.0,9.7825,0.006,-0.006,98.8783,0.4197,-0.4197,5509.0,186.0,-186.0,4.39758,2.00408,-2.00408,0.94,0.06,-0.06,16/08/2019 20:20,16/10/2023 16:02
1060.01,101230735,APC,19h57m09.84s,299.290995,-48d56m04.11s,-48.934476,2.224,0.286,-0.286,-14.604,0.228,-0.228,2460149.536,0.001995,-0.001995,2.0685633,4e-06,-4e-06,0.373,0.065,-0.065,502.0,169.202,-169.202,3.89739,0.417306,-0.417306,24.409,619.0,9.6652,0.006,-0.006,128.491,3.3745,-3.3745,5687.9,76.0,-76.0,4.6,0.12,-0.12,1.14,0.07,-0.07,16/08/2019 20:20,16/10/2023 16:02
