st_teff,dec,pl_rade,pl_eqt,type,Status,pl_insol,st_rad,st_tmag,pl_orbper,ra,st_logg
4803.0,-47.56203,2.6014766,575.3502049,TESS,CP,25.8970378,0.737189,10.0059,12.2265595,296.003935,4.52079
5780.0,-50.06735,22.503541,,TESS,KP,,1.2,13.2851,2.160344,286.36675,4.32928
5670.0,-54.893341,12.962219,,TESS,KP,,1.07,11.9707,4.606184,285.096517,4.3925
4351.0,-59.57935,9.4995191,890.5622134,TESS,KP,148.6544991,0.76701,13.1686,3.1316735,288.672005,4.438
5498.0,-49.138513,13.446487,,TESS,KP,,0.92,13.2887,3.180362,284.399762,4.47934
5703.0,-32.860124,14.4339,1461.0,TESS,KP,758.324,1.22,10.4293,2.9776446,289.479212,4.25824
6153.0,-34.135751,20.5357,1570.0,TESS,KP,1009.38,1.71,9.6433,3.9502008,313.783239,4.18077
5740.0,-32.861327,26.88423,1386.5,TESS,FP,873.27,1.28,15.7114,2.9776152,289.478541,4.29219
5639.0,-58.459388,13.200677,1214.987644,TESS,KP,515.0014435,1.11499,11.5803,3.5544026,280.184169,4.37172
5765.0,-72.913998,25.4886382,1225.0,TESS,FP,374.129,2.4494,11.7106,12.8379689,75.627307,4.34773
4444.0,-49.664942,13.3368705,788.0973496,TESS,CP,91.167589,0.6983,13.6699,3.9228016,287.484402,4.438
5206.0,-72.010267,2.4233421,587.1759148,TESS,PC,28.0927293,0.741671,10.6339,13.9428705,310.761004,4.63095
4046.0,-65.449699,1.8625587,1222.59731,TESS,CP,528.0253155,0.580337,11.1186,0.6047392,309.971209,4.60963
5659.0,-55.330269,12.9171288,1337.864515,TESS,KP,757.1284067,1.03997,11.2474,2.5495611,294.633694,4.44653
5192.0,-88.096213,12.6436029,1374.801814,TESS,PC,844.2700581,0.984326,13.461,1.6062693,173.810798,4.4617
3325.0,-56.462287,1.3485121,1019.329598,TESS,CP,255.1405815,0.390989,10.1165,0.5182425,306.928646,4.88693
6519.0,-55.387928,14.8814743,1747.949001,TESS,PC,2206.155048,1.7234,13.1284,3.1644075,283.119492,4.22068
5523.0,-26.09672,12.1086799,1075.318454,TESS,KP,315.9871326,0.809868,13.163,3.0440541,316.96148,4.52192
3296.0,-52.214573,1.2305102,386.6684768,TESS,PC,5.2829448,0.199988,12.7067,3.9652485,276.368325,4.96636
6027.0,-40.11177,11.467011,,TESS,PC,,1.23975,11.5247,2.98278,282.140409,4.29978
4310.0,-80.815478,3.5059571,441.7489067,TESS,PC,8.9995944,0.649613,11.8835,16.3469053,83.275809,4.57345
3614.0,-87.32281,2.4241912,376.2093904,TESS,PC,4.7341229,0.491323,12.0936,12.9802953,296.822194,4.81257
6346.0,-61.7474,15.8824638,1839.671304,TESS,KP,2706.960623,1.14759,12.2851,1.3484961,268.890707,4.38484
6102.0,-59.535664,14.9476,,TESS,APC,1436.45,1.28,11.6577,3.2541181,77.605399,4.28649
